Plant ID,Number of active species (S),Number of individuals (N),Water temperature (°C),Altitude (m asl),pH,Plant diameter (cm),Distance above the ground (cm),DMn,?,H',Type of vegetation,Bromeliad species,Ecological type,Bbra
C1,0,0,27,23,5,12,0,0,0,0,BTC,Bk,II,0
C2,3,140,32.5,57,4.5,32,350,0.253,0.42,0.953,BTC,Td,III,0
C3,0,0,35,83,5,20,150,0,0,0,BTC,Tr,III,0
C4,0,0,34,83,5,29,120,0,0,0,BTC,Tr,III,0
C5,0,0,36,92,5,31,140,0,0,0,BTC,Tr,III,0
C6,0,0,34.8,37,5,20,0,0,0,0,BTC,Bk,II,0
C7,0,0,35,32,5,20,0,0,0,0,BTC,Bk,II,0
C8,0,0,34,21,5,22,140,0,0,0,BTC,Td,III,0
C9,0,0,41.8,23,5,20,90,0,0,0,BTC,Tr,III,0
C10,0,0,24,59,5,65,280,0,0,0,BTC,Td,III,0
Z1,3,1840,21,1420,4.5,31,170,0.069,0.94,0.111,BMM,Tg,IV,0
Z2,4,760,20,1450,4,72,154,0.145,0.604,0.772,BMM,Tg,IV,0
Z3,1,1860,19.6,1450,5.3,68,54,0.023,1,0,BMM,Tm,IV,0
Z4,1,5240,19.8,1450,4.3,30,210,0.013,1,0,BMM,Tg,IV,5240
Z5,0,0,18.8,1470,6.7,152,20,0,0,0,BMM,Ws,IV,0
Z6,3,220,20,1440,5,54,129,0.202,0.687,0.594,BMM,Tg,IV,20
Z7,2,3920,21.5,1440,4.5,24,100,0.031,0.989,0.031,BMM,Tm,IV,3900
Z8,2,480,20.3,1440,4,52,100,0.091,0.53,0.66,BMM,Ws,IV,0
Z9,2,340,22,1440,3.5,49,40,0.108,0.639,0.543,BMM,Ws,IV,0
Z10,0,0,19.9,1440,4,72,20,0,0,0,BMM,Ws,IV,0
O1,2,1140,15.8,2377,4,68,190,0.059,0.544,0.646,BQ,To,IV,400
O2,0,0,14.8,2377,5,53,192,0,0,0,BQ,To,IV,0
O3,4,260,15,2377,4,54,203,0.248,0.393,1.07,BQ,To,IV,20
O4,4,840,16,2377,4,70,186,0.138,0.496,0.856,BQ,To,IV,0
O5,4,1520,14.8,2377,4.5,62,212,0.102,0.557,0.829,BQ,To,IV,1100
O6,3,480,15,2377,4,44,221,0.136,0.773,0.452,BQ,To,IV,20
O7,1,1520,16.8,2377,4.5,51,122,0.025,1,0,BQ,To,IV,0
O8,3,140,16,2377,4.5,48,147,0.253,0.386,1,BQ,To,IV,60
O9,1,620,16,2377,4.5,47,188,0.04,1,0,BQ,To,IV,0
O10,2,7970,16,2377,4,64,180,0.022,0.657,0.525,BQ,To,IV,1750
T1,0,0,19.3,1542,5,36,194,0,0,0,BMM,Ti,IV,0
T2,0,0,19,1539,4.5,66,197,0,0,0,BMM,Ti,IV,0
T3,1,20,19,1534,5,54,179,0.22,1,0,BMM,Ti,IV,0
T4,2,100,20,1542,4.5,50,195,0.2,0.52,0.672,BMM,T1,IV,0
T5,2,120,18.5,1537,5,81,278,0.185,0.55,0.636,BMM,Ti,IV,0
T6,2,140,19,1542,4.5,62,184,0.169,0.591,0.597,BMM,Ti,IV,0
T7,1,40,19.5,1525,4.5,80,203,0.158,1,0,BMM,Tm,IV,0
T8,1,20,20.3,1525,4.5,67,175,0.22,1,0,BMM,Tm,IV,0
T9,1,20,19.8,1521,4.5,42,147,0.22,1,0,BMM,T1,IV,0
T10,1,40,20.5,1523,4,37,151,0.158,1,0,BMM,T1,IV,0
P1,3,140,18,878,4,25,163,0.253,0.55,0.792,BMM,Tb,IV,0
P2,1,20,18.8,884,4,29,93,0.22,1,0,BMM,Tb,IV,0
P3,2,220,18.2,876,4.5,21,170,0.134,0.834,0.295,BMM,Cs,IV,0
P4,1,20,18.5,895,4.5,23,143,0.22,1,0,BMM,Tb,IV,0
P5,0,0,16.2,1057,4.5,47,232,0,0,0,BMM,Tb,IV,0
P6,4,420,15.2,1056,4,58,260,0.195,0.74,0.561,BMM,Tb,IV,0
P7,2,60,18,1056,4,38,177,0.258,0.555,0.63,BMM,Tb,IV,0
P8,2,100,17.9,1051,4.5,54,155,0.2,0.68,0.499,BMM,Tb,IV,0
P9,3,340,17,1041,5,50,206,0.162,0.417,0.944,BMM,Tb,IV,0
P10,3,480,18.7,1041,5,50,217,0.136,0.43,0.91,BMM,Tb,IV,0
K1,0,0,28.5,72,4.5,28,155,0,0,0,BTSC,Ab,III,0
K2,2,100,28,83,5,24,173,0.2,0.52,0.672,BTSC,Ab,III,0
K3,1,20,28.3,75,5,21,164,0.22,1,0,BTSC,Ab,III,0
K4,0,0,28,97,4.5,77,122,0,0,0,BTSC,Ab,III,0
K5,0,0,29,97,5,65,0,0,0,0,BTSC,Ab,III,0
K6,1,50,28.3,95,4.5,150,0,0.141,1,0,BTSC,Ab,III,0
K7,1,20,28,102,5,76,0,0.22,1,0,BTSC,Ab,III,0
K8,4,480,28,102,5,129,0,0.182,0.419,1.048,BTSC,Ab,III,0
K9,0,0,27.8,109,4.5,130,139,0,0,0,BTSC,Ab,III,0
K10,0,0,27.8,88,4.5,143,116,0,0,0,BTSC,Ab,III,0
